gene	logFC_DE_Calu3_S1.24h_mock.24h	logCPM	PValue	FDR
HSPA6	7.21340591913418	3.22353047439691	0	0
CXCL10	6.66587778283468	6.02529745820611	0	0
CYP1A1	6.37553672314458	6.73472370166038	0	0
CXCL11	6.14284962121438	5.21504404545901	0	0
PPP1R15A	5.12814917768622	9.90223610476489	0	0
TNFAIP3	4.86241430873864	7.2496001853199	0	0
TRIM22	4.8073636994218	5.87128039409325	0	0
RSAD2	4.64707678553497	7.61417143726168	0	0
IFIT3	4.57069765759402	7.8538364981061	0	0
CD274	4.49358786643991	4.04312912085826	0	0
MX2	4.41114841038025	5.96142330402453	0	0
CMPK2	4.38590581075776	5.73165371927803	0	0
NFKBIA	4.32716386782577	7.82474846074939	0	0
FAM46A	3.99748253930789	6.72459169365531	0	0
USP18	3.97694924288223	5.57339032803873	0	0
OASL	3.95604575303347	7.21639474896004	0	0
OAS2	3.67672754865219	7.90123171031421	0	0
ZC3HAV1	3.50618085148177	8.06142955135466	0	0
IRF1	3.47767564183236	6.56755349453053	0	0
APOL6	3.30500232483951	6.74178149455052	0	0
SAMD9L	3.28463490522645	7.42452461439186	0	0
GBP1	3.21815290853508	5.83270147974139	0	0
HELZ2	3.19847928512475	8.68748916002291	0	0
IFIT5	2.84628494651004	5.17671122807027	0	0
TXNIP	2.67060204078632	7.80814191833806	0	0
SAMHD1	2.56458131319297	7.03519833714508	0	0
DTX3L	1.89080206781531	6.83669029127716	0	0
PNPT1	1.97543987014573	7.79668027198642	9.88131291682493e-324	4.02663501360616e-321
ZNFX1	2.57172806505317	8.73626301387516	1.24306916493658e-319	4.89211994343067e-317
DUSP1	4.27229787589883	5.85820032073429	2.98359934305231e-316	1.13506064342665e-313
IRF7	2.95539084808622	6.17505090239963	8.84060854442755e-316	3.25476984892937e-313
IFNB1	11.569285096378	6.87523423748327	8.36260523517492e-308	2.98257542340785e-305
IFIT2	5.19253968127465	9.56539700566946	1.71197613672665e-304	5.92084352983676e-302
GBP4	4.20019417297849	5.95444143143572	9.21222539111546e-300	3.09232730555296e-297
IFIH1	3.28305674707105	7.95828470487915	2.92488132956298e-299	9.53762017551493e-297
NUAK2	3.67188342892981	5.79481907924928	1.31334771865373e-294	4.16367708694307e-292
ETS2	1.81141040408634	7.57828590206814	1.61194955395702e-293	4.972210880895e-291
HERC5	4.11910239303102	6.00589543914574	1.00103139565326e-291	3.00651876805016e-289
XAF1	3.43611298211168	4.81052184574027	3.97976991373145e-288	1.16464394936967e-285
OAS3	2.36318662789345	9.01636186824092	2.38141947559453e-285	6.7947851187401e-283
IFNL1	9.68447928365682	5.55550532631116	3.05877588147694e-277	8.51458759397472e-275
IL1A	5.59354301374548	3.02284570136585	3.4786484413614e-276	9.45281301458515e-274
TRANK1	3.89248501799882	5.29334380102536	1.47742307204476e-271	3.92135570261555e-269
PSMB8	1.49420541429183	6.01769706445151	9.16813165955208e-271	2.37808833251063e-268
IFNL2	11.3345790288443	5.24689689425138	1.67252672838793e-268	4.2418994557981e-266
IFIT1	3.6817103848937	8.17592158153562	8.85340965723025e-268	2.19660792212976e-265
OAS1	2.69214670325256	7.11245478908818	1.26589308058325e-267	3.07396547419077e-265
LAMP3	3.87308939140808	6.09157141538558	9.5971696481377e-267	2.28192702487907e-264
DDX58	2.90595975126627	6.91203658041441	3.91254946677222e-266	9.1130463396472e-264
KLF4	4.55294708672498	5.01818427703477	8.86471807440835e-262	2.02346054766445e-259
RNF213	2.5597196050576	8.89822036752438	1.21692875141458e-261	2.72329565488129e-259
RELB	2.5822302179655	5.52781147311573	2.44012092829015e-261	5.3555961835722e-259
JUN	3.24451036517576	8.52900397335215	7.66045294164396e-257	1.64959904571665e-254
PARP12	2.41033370029585	6.18405070005397	2.9597770951858e-253	6.25554370136214e-251
ARRDC4	2.12623088394099	4.78844011499389	2.06521779243236e-252	4.28551466636919e-250
ISG20	3.60421129723093	5.57777268824962	1.99495702540267e-248	4.06579366623583e-246
ARRDC3	3.93883386148429	7.03346594184064	2.98378252220921e-247	5.97437016245154e-245
TAP1	2.92563981094754	7.755300908413	6.1837553310411e-247	1.21681378608917e-244
IKZF3	3.38646785858897	4.78708069370778	7.76227013468821e-247	1.50153879741011e-244
CXCL2	4.20169768871765	5.1423913442431	2.38416928481984e-246	4.5350873412748e-244
IL6	5.22076541415039	4.86447553319935	6.32179778857413e-246	1.18279800263929e-243
ATF3	5.5834711075433	6.49035827399201	6.75060021433824e-240	1.24265484268133e-237
STAT2	2.31750569862222	6.15168677293525	4.40503230129911e-238	7.98010058011535e-236
NT5C3A	2.68476859746697	7.21602585822718	2.15637970204609e-236	3.84543149053937e-234
NLRC5	4.4572007162547	3.58272693282755	7.95389872573346e-231	1.39658224856609e-228
PARP14	2.56633055200638	8.01903607710872	3.10620312205349e-229	5.37137821696916e-227
TSC22D2	2.21465157427099	6.45235164294919	1.61026968359958e-226	2.74298625357045e-224
STAT1	1.84383536950485	9.12311130141297	1.77397488416953e-225	2.97740814015101e-223
PARP10	2.41401777251053	7.08350226066779	2.4821639311369e-225	4.10564303566166e-223
CCL20	3.28226910581345	4.30969113637356	9.00569067530095e-224	1.46831353824585e-221
SEMA7A	1.36050872396559	6.62110026049114	1.34951008669819e-222	2.16928994640654e-220
IFNL3	12.7908007566036	4.75230854921388	1.3624396591811e-217	2.15965608753249e-215
