gene	logFC_DE_Calu3ser2_S2.12h_mock.12h	logCPM	PValue	FDR
IL6	5.25570380586682	4.73452585081152	4.07655375822362e-129	3.97423225889221e-125
IFIT3	5.74090736593338	5.80503778290022	8.48528895708386e-122	4.13615410213053e-118
IRF7	3.39126468767293	6.24657694838583	4.02462548877209e-112	1.30786912966797e-108
IFIT1	5.26425804780504	7.36280096005978	6.20953088672999e-108	1.51341791536827e-104
CMPK2	5.13867288417907	4.77022366903977	2.29900205433041e-107	4.48259420553344e-104
TNFAIP3	5.1571074196335	4.90231334443332	5.2572197968791e-107	8.54210596662905e-104
NFKBIA	4.25543249117708	6.65345759264183	1.30865620439253e-100	1.82258419094611e-97
IFNB1	12.9697036795095	3.45820720268497	9.7013481378163e-99	1.18223053744464e-95
OASL	4.4719825090129	5.63111267798587	6.01511320287348e-98	6.51570429053484e-95
RSAD2	5.49722333860552	5.76180609250949	2.11456549053114e-95	2.06148989671881e-92
USP18	4.6687936136271	4.87177092089887	1.55825297690196e-90	1.38103711561975e-87
IFIT2	5.6621385982693	6.99710956629947	6.90777146376628e-89	5.61198866668812e-86
NUAK2	4.34914578221193	3.90072472624612	5.15916027956413e-87	3.86897335119005e-84
CXCL2	4.08783933846776	4.9711325965626	3.60925716358677e-85	2.51333200627196e-82
ATF3	5.15250094181957	5.50191029545402	1.08867315464817e-81	7.07564972311002e-79
IRF1	3.84386928136104	5.82943068820364	2.72337472934984e-78	1.65938626477698e-75
MX2	5.98793375134495	4.59268337387952	1.73193570569927e-77	9.93214187933069e-75
APOL6	3.71669730657913	5.23231769861965	8.3626276206075e-77	4.5292920374057e-74
ARRDC3	3.45533234627406	6.27366046990396	1.57796420231679e-76	8.09661737283492e-74
OAS1	3.39181337739422	6.57308111885051	2.15775987592671e-76	1.05180005152047e-73
IFIT5	3.0214391940159	4.85934807744103	1.45207275870555e-75	6.74107491648591e-73
OAS2	4.8173603564468	6.18743544575043	2.68441923497463e-75	1.18956377826216e-72
IFIH1	3.76593961897436	6.19064285360703	7.01442901459068e-75	2.97320297666281e-72
PTX3	4.45120841634389	3.41019812987343	8.07259516805752e-75	3.27915542889137e-72
HERC5	4.01548817099696	4.63002688555812	1.02779328595772e-69	4.00798269792074e-67
XAF1	5.5239955012192	3.37910512426007	9.46516339810622e-69	3.54907222954375e-66
IFI16	3.02758655439517	5.36436328069429	2.6228348183948e-68	9.47037653501143e-66
IFNL1	11.5319503675879	2.03101329467723	7.22496529022728e-66	2.51557809337235e-63
TRIM22	5.43363285168349	3.78343497385255	9.05069744586233e-65	3.04259480688662e-62
TNF	6.85382752264267	1.8833534313686	1.37625083229298e-63	4.47235645467475e-61
CYP1A1	5.04886873340175	3.38753514021864	1.74616501895746e-63	5.49140734510202e-61
CXCL10	6.89768273716926	3.07132273526824	3.35079836213872e-63	1.02084166351532e-60
GBP1	3.59910734287301	4.76009938132182	1.79061119200388e-62	5.28989954874117e-60
