gene	logFC_DE_Caco2_S1.24h_mock.24h	logCPM	PValue	FDR
AFP	-1.26609393687028	8.24448029084743	1.91633172423321e-148	2.18710939686736e-144
JUN	2.61905241354629	8.52900397335215	9.53389241855583e-147	5.44051570864888e-143
HSPA6	6.88524690775981	3.22353047439691	3.36413269880125e-137	1.27982821638062e-133
ARRDC3	2.8154705430665	7.03346594184064	4.82268558599925e-110	1.37603276482524e-106
HDAC9	1.87468793494488	6.65362108968137	9.13585645577933e-82	2.08535059459619e-78
LAMA1	-1.64404716981871	4.83953722891855	8.82340228918607e-79	1.67835817210801e-75
DUSP1	2.18039805049002	5.85820032073429	6.6507474920024e-77	1.08435687323176e-73
HSPA7	7.13371549117887	1.8942719660758	6.61051132527311e-67	9.43072071941774e-64
ANKRD1	1.05920990539695	6.76898502692399	8.50967124133678e-66	1.07912086530419e-62
JUNB	1.94428343404969	7.02887167987239	2.30285096615544e-65	2.62824380767321e-62
HSPA1B	0.904842122428472	10.8555313125646	4.29587250016873e-61	4.45716298585688e-58
OAT	-0.992375398669875	6.26538262448745	6.52377688314166e-58	6.20465546394132e-55
KLF6	1.39279577336013	8.19861446922746	4.31413220524628e-55	3.78747621988275e-52
DUSP6	1.17599783464431	7.11963071522669	5.40988425910229e-55	4.41021493208103e-52
SERINC5	-0.947867523414191	6.48992804986226	1.22272470998215e-54	9.30330474335082e-52
VGF	1.89077334771084	4.40502415168327	8.05636351953806e-54	5.7467048030305e-51
IER3	1.55077563162837	7.55269656504579	1.09692833861995e-53	7.3642606639232e-51
ZNF554	3.3325737486996	2.23403242860579	4.85628296871721e-53	3.07915319566497e-50
EPHA2	0.875301359374821	7.68546642582813	2.36053600262455e-51	1.41793670515548e-48
ZNF844	2.35560885563645	2.83982768246921	9.38274316572957e-51	5.35426238752358e-48
PPP1R15A	1.42188757765847	9.90223610476489	3.83871158173813e-50	2.08624834677987e-47
HIVEP2	2.04669803522455	5.79859599413722	1.19141685822504e-49	6.18074572860108e-47
MDM2	1.19373332341358	6.09818949813485	5.93617252347646e-49	2.94563204393204e-46
SERPINE1	2.1422347356259	4.93399904844443	1.29142154677477e-48	6.14124754722518e-46
EGR1	1.44144298354033	7.12243888297951	4.13514460685932e-47	1.88777621592342e-44
IL11	2.5511629929373	3.86190338380593	1.25433653110663e-46	5.50605493443075e-44
HSPA1A	0.827696199094262	10.9203898434674	1.7059989875074e-44	7.21132090534145e-42
TXNIP	1.22796479386057	7.80814191833806	1.85393379205196e-42	7.55676656024609e-40
AHSG	-1.09391794134873	6.47729234712535	8.2325409131176e-42	3.23993067039349e-39
NFKB2	1.17254016606313	6.45725827358544	9.11146901358707e-41	3.46630652840231e-38
ATF3	2.01068558334363	6.49035827399201	2.9552749303871e-40	1.08801783162929e-37
IGFBP4	1.12037963772599	7.23017387535778	6.01167074331093e-40	2.14409994354399e-37
TTR	-1.1091919948691	6.51405736448471	1.33670018458439e-38	4.62295733535202e-36
KRT6A	2.4339426079122	2.39986086214394	1.60783061658774e-38	5.39710906679879e-36
NUAK2	1.10357823610564	5.79481907924928	3.28081541596743e-38	1.06982703835532e-35
ABL2	1.15638029858147	6.39953843612095	4.2241550829498e-36	1.33917449893628e-33
AMACR	-0.821281035445266	5.39834113041934	5.63705232716451e-36	1.73880211378185e-33
DUSP5	1.63516424345408	5.68763129712778	3.42751805453732e-35	1.02942798832722e-32
LRP2	-0.910111072481662	7.39095615590964	7.58333263526492e-34	2.21919424016099e-31
ZBTB20	2.18947096810129	5.36326726218642	1.14951408953891e-33	3.2798510759769e-31
FGG	-0.945172778256267	6.26123528080648	1.41325776433811e-33	3.93402704009534e-31
CDH17	-0.619536584577473	7.95453657389293	1.65866208374542e-33	4.5072167528063e-31
FHL2	0.990676943614246	6.09439288191688	3.42377634091592e-33	9.08733939043568e-31
DNAJB1	0.692778583356977	7.81588063190869	7.36428798107794e-33	1.91019588018278e-30
