gene	logFC_DE_Calu3_S2.24h_mock.24h	logCPM	PValue	FDR
IFNL3	14.7639602406666	4.75230854921388	0	0
IFNB1	13.675905209238	6.87523423748327	0	0
IFNL2	13.3063223104866	5.24689689425138	0	0
IFNL1	11.8812134223398	5.55550532631116	0	0
CCL5	10.1551809129746	5.14638485356072	0	0
CXCL10	8.7268238138753	6.02529745820611	0	0
CXCL11	8.13045145177074	5.21504404545901	0	0
IFIT2	7.12019857357606	9.56539700566946	0	0
IDO1	6.70971729178818	4.19074087608984	0	0
IL6	6.41758475731875	4.86447553319935	0	0
RSAD2	5.94273659036861	7.61417143726168	0	0
PPP1R15A	5.8915821150688	9.90223610476489	0	0
TRIM22	5.84433763384946	5.87128039409325	0	0
IFIT3	5.84316396458518	7.8538364981061	0	0
BST2	5.78012859498961	2.42556004840333	0	0
GBP4	5.67016124132399	5.95444143143572	0	0
OASL	5.59745300937674	7.21639474896004	0	0
KLF4	5.54397241007504	5.01818427703477	0	0
MT2A	5.40640946708813	4.78611262995098	0	0
CD274	5.11661109551895	4.04312912085826	0	0
CMPK2	4.98997269180251	5.73165371927803	0	0
ISG20	4.88316567080398	5.57777268824962	0	0
LAMP3	4.87274858973722	6.09157141538558	0	0
MX2	4.86762650386426	5.96142330402453	0	0
HERC5	4.66420002919318	6.00589543914574	0	0
CX3CL1	4.65816859646764	4.59353529474619	0	0
IFI27	4.65133017965404	5.0386603195368	0	0
NFKBIA	4.58106193688393	7.82474846074939	0	0
IFIT1	4.5519700311063	8.17592158153562	0	0
SAMD9L	4.39143035843776	7.42452461439186	0	0
USP18	4.34610462802102	5.57339032803873	0	0
HCP5	4.2065390942267	3.46827875496633	0	0
OAS2	4.17196332716057	7.90123171031421	0	0
IFITM2	4.14841731755408	2.92863523406804	0	0
IFIH1	4.14067149662432	7.95828470487915	0	0
ZC3HAV1	4.06016673967634	8.06142955135466	0	0
XAF1	3.93537490176464	4.81052184574027	0	0
GBP1	3.93150585544152	5.83270147974139	0	0
IRF1	3.87109640710364	6.56755349453053	0	0
HLA-F	3.81184864055013	4.52516481120841	0	0
PLAUR	3.79884341057671	5.65152683892831	0	0
APOL6	3.79733862255274	6.74178149455052	0	0
NT5C3A	3.60982880678219	7.21602585822718	0	0
TAP1	3.56718360583839	7.755300908413	0	0
ISG15	3.5452290992323	6.76259783328611	0	0
IRF7	3.49437368644874	6.17505090239963	0	0
IFIT5	3.39663964789232	5.17671122807027	0	0
PSMB9	3.30441174419632	6.04616033805639	0	0
WARS	3.30200074946281	7.64318929162583	0	0
OAS1	3.28596996905092	7.11245478908818	0	0
HELZ2	3.21123356832956	8.68748916002291	0	0
ZNFX1	3.03731152843316	8.73626301387516	0	0
PARP10	2.92929164738012	7.08350226066779	0	0
GSDMB	2.8719214987893	7.01533276804187	0	0
PLEKHA4	2.82497883500084	5.96952388836875	0	0
SAMHD1	2.766839642992	7.03519833714508	0	0
CD68	2.7640312220282	4.72009376295027	0	0
TXNIP	2.47164487232048	7.80814191833806	0	0
PML	2.43799186549511	6.41662231970075	0	0
DTX3L	2.23196836651165	6.83669029127716	0	0
ETS2	2.18348138949472	7.57828590206814	0	0
PNPT1	2.07683354070176	7.79668027198642	0	0
PSMB8	2.07240499183178	6.01769706445151	0	0
PMAIP1	4.01671798821901	5.70133850705528	8.51452971416971e-319	1.51838013153631e-316
PTGER4	3.27197730945101	4.90341379378365	5.40377976098597e-316	9.48820590936887e-314
DDX58	3.17794980283917	6.91203658041441	4.11559096002373e-315	7.11685448888217e-313
DHX58	4.9314521243405	3.84344436770668	1.43958417220188e-311	2.45223494885673e-309
CEACAM1	2.96916811346944	5.81493394025508	2.36619424654878e-308	3.97137866703841e-306
IFITM1	4.2902617236325	6.15812770096915	3.00309275582474e-308	4.96728951046778e-306
FAM46A	3.84762838706204	6.72459169365531	1.62668964594213e-304	2.65220127559108e-302
IFITM3	3.2389160171243	6.9529861901518	1.78772569087066e-304	2.87370609998688e-302
EPSTI1	4.08740196711324	4.30480108144798	1.12846196112165e-298	1.78876893920574e-296
OAS3	2.42193424080276	9.01636186824092	5.47101003081334e-298	8.55351198379078e-296
TRANK1	4.08318576255304	5.29334380102536	1.34138325932811e-294	2.06881177550158e-292
NLRC5	4.89987632519402	3.58272693282755	1.80576014435019e-294	2.7478854036625e-292
TAP2	2.33139519876229	8.26384841544026	5.93282280631051e-294	8.90938245900288e-292
HLA-B	2.8589932857889	8.93531448829131	1.40999435227543e-281	2.08990461591162e-279
TNFAIP3	4.55250593618938	7.2496001853199	1.70490822183358e-281	2.49463045330598e-279
PARP14	2.86427967169061	8.01903607710872	1.40814425193044e-280	2.03432282876988e-278
NCOA7	2.68240588475662	6.46494947292152	1.60124340025132e-279	2.28437386588355e-277
STAT2	2.63116970490683	6.15168677293525	2.4474586286582e-278	3.44849942331803e-276
SCD	-1.59355878626516	8.98848344498334	5.8719916433942e-277	8.17280983244611e-275
BATF2	4.68767694205198	3.34837659823385	7.18064196648487e-277	9.87381527270986e-275
ATF3	6.07670629091766	6.49035827399201	7.25178224565285e-276	9.85292747257571e-274
CD74	2.17384315948754	6.93648034988278	1.71229807222731e-275	2.29911269392122e-273
BIRC3	2.35059125392288	6.82462137215071	5.52774213260386e-275	7.33582801853579e-273
RTP4	4.45869067452584	3.12660566591676	4.27782541948371e-270	5.61181856466294e-268
HLA-E	2.08832424903751	8.12351575147063	6.78229553345056e-267	8.79617487764446e-265
CCL20	3.57069760587348	4.30969113637356	2.11219611137171e-266	2.708594856077e-264
STAT1	1.98411957282893	9.12311130141297	1.39035483309614e-258	1.76312441223625e-256
IFI35	3.45696109374234	6.13700191901583	3.33693935697186e-256	4.18510866825492e-254
SAMD9	3.09858645842085	8.75291661670697	1.2326344261617e-255	1.52913659845473e-253
NUB1	2.23230736861264	6.0001210014675	3.98998276175876e-255	4.89652400644654e-253
ZFP36	3.07115732543009	5.98810623011272	1.93109582047439e-254	2.34463793607172e-252
H1F0	2.03418294830555	8.28130697197899	8.62995779585101e-247	1.03677587709524e-244
GBP3	2.20544165554436	6.29001055073956	6.47400470660323e-246	7.69664747046487e-244
ARRDC3	3.93863872475413	7.03346594184064	9.15297619824135e-246	1.07693729227349e-243
SCN3A	8.62951710911311	2.57363757995465	9.58431077584718e-243	1.116181009028e-240
IGF2	7.12246346146766	8.78102127978382	7.91989597525293e-237	9.13028007732946e-235
RNF213	2.42739923148621	8.89822036752438	2.01316120660409e-236	2.29762088509725e-234
ERAP2	1.45304420786937	6.6803343943832	1.62558380954499e-235	1.83690970478584e-233
IFI16	3.38677080961878	5.76747217779532	2.88623673175174e-233	3.22947253132182e-231
SEMA7A	1.42836091819313	6.62110026049114	2.78427932635486e-232	3.0851436846299e-230
KIF20A	-1.6541134677635	6.51650294889088	5.21979809887967e-231	5.72822650985709e-229
AREG	1.41335142252639	8.88700361550394	2.31690345948593e-230	2.51836373172504e-228
INS-IGF2	7.23012380034602	8.71022432544053	6.86940749575164e-229	7.39627808952957e-227
MX1	3.35596908968674	8.51987395985132	1.60692660853131e-227	1.7140049890811e-225
SLC15A3	4.95226218470398	3.5818408520503	6.36229675336795e-227	6.7234160042767e-225
SP110	2.44851383850659	5.74085801880446	6.98743703153697e-227	7.31629530650747e-225
JUN	3.01975453190288	8.52900397335215	4.87968387861754e-225	5.06289382787836e-223
PARP12	2.40675413799887	6.18405070005397	1.2458007830931e-224	1.28093012049023e-222
CITED2	3.40548420456586	5.72362659943272	4.71335574017051e-222	4.80299366630054e-220
TNFSF10	3.28857695435175	6.35403475423712	1.01093612789664e-221	1.02104548917561e-219
PARP9	1.8623442169831	6.82201766692124	2.81939223136672e-220	2.82260732777091e-218
HLA-C	2.04935715021612	9.61665478431248	3.74488607298124e-219	3.71655519573347e-217
LAP3	2.34189987874757	7.45779531500177	5.3833934009078e-219	5.29660938660006e-217
CXCL8	2.41927435325337	7.83693003511235	2.9615033293242e-216	2.88885790577582e-214
JAK2	3.10586019673483	3.50168911994068	2.32765147206004e-214	2.25131239412045e-212
